Demographics, Wyoming Counties, Poverty, Asian/Pacific Islander (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Albany, Wyoming","56001","3.9"
"Weston, Wyoming","56045","1.8"
"Teton, Wyoming","56039","1.6"
"Platte, Wyoming","56031","1.3"
"Laramie, Wyoming","56021","1.2"
"Sweetwater, Wyoming","56037","1.2"
"Niobrara, Wyoming","56027","1.2"
"Goshen, Wyoming","56015","1.1"
"Sheridan, Wyoming","56033","1.0"
"Big Horn, Wyoming","56003","0.8"
"Carbon, Wyoming","56007","0.7"
"Johnson, Wyoming","56019","0.6"
"Fremont, Wyoming","56013","0.5"
"Natrona, Wyoming","56025","0.5"
"Washakie, Wyoming","56043","0.4"
"Lincoln, Wyoming","56023","0.4"
"Park, Wyoming","56029","0.3"
"Converse, Wyoming","56009","0.3"
"Crook, Wyoming","56011","0.3"
"Uinta, Wyoming","56041","0.2"
"Campbell, Wyoming","56005","0.1"
"Sublette, Wyoming","56035","no data/suppressed"
"Hot Springs, Wyoming","56017","no data/suppressed"

"undefined"
