Demographics, Wyoming Counties, Poverty, Hispanic (Females - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Carbon, Wyoming","56007","16.4"
"Sweetwater, Wyoming","56037","15.6"
"Laramie, Wyoming","56021","15.1"
"Teton, Wyoming","56039","14.4"
"Washakie, Wyoming","56043","12.4"
"Goshen, Wyoming","56015","10.3"
"Albany, Wyoming","56001","10.3"
"Uinta, Wyoming","56041","10.3"
"Big Horn, Wyoming","56003","9.4"
"Natrona, Wyoming","56025","8.4"
"Campbell, Wyoming","56005","8.2"
"Fremont, Wyoming","56013","7.3"
"Converse, Wyoming","56009","6.7"
"Niobrara, Wyoming","56027","6.3"
"Park, Wyoming","56029","5.7"
"Platte, Wyoming","56031","5.6"
"Lincoln, Wyoming","56023","5.3"
"Sheridan, Wyoming","56033","4.3"
"Sublette, Wyoming","56035","4.2"
"Hot Springs, Wyoming","56017","3.7"
"Crook, Wyoming","56011","1.1"
"Johnson, Wyoming","56019","1.1"
"Weston, Wyoming","56045","0.7"

"undefined"
