Demographics, Wyoming Counties, Poverty, Non-Hispanic (Origin Recode (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Weston, Wyoming","56045","98.1"
"Crook, Wyoming","56011","97.5"
"Hot Springs, Wyoming","56017","96.9"
"Johnson, Wyoming","56019","96.9"
"Sheridan, Wyoming","56033","95.4"
"Lincoln, Wyoming","56023","95.1"
"Park, Wyoming","56029","94.3"
"Niobrara, Wyoming","56027","93.3"
"Sublette, Wyoming","56035","92.7"
"Fremont, Wyoming","56013","92.4"
"Converse, Wyoming","56009","91.6"
"Platte, Wyoming","56031","91.5"
"Campbell, Wyoming","56005","91.4"
"Natrona, Wyoming","56025","91.1"
"Big Horn, Wyoming","56003","90.6"
"Uinta, Wyoming","56041","90.3"
"Albany, Wyoming","56001","90.1"
"Goshen, Wyoming","56015","89.0"
"Washakie, Wyoming","56043","85.6"
"Teton, Wyoming","56039","85.1"
"Laramie, Wyoming","56021","84.7"
"Sweetwater, Wyoming","56037","83.9"
"Carbon, Wyoming","56007","81.4"

"undefined"
