Demographics, Wyoming Counties, Poverty, White (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Sublette, Wyoming","56035","96.0"
"Converse, Wyoming","56009","95.5"
"Lincoln, Wyoming","56023","95.0"
"Crook, Wyoming","56011","94.9"
"Hot Springs, Wyoming","56017","94.5"
"Sheridan, Wyoming","56033","93.6"
"Niobrara, Wyoming","56027","93.0"
"Park, Wyoming","56029","92.9"
"Johnson, Wyoming","56019","92.6"
"Natrona, Wyoming","56025","92.2"
"Uinta, Wyoming","56041","92.1"
"Platte, Wyoming","56031","90.5"
"Goshen, Wyoming","56015","90.2"
"Campbell, Wyoming","56005","90.2"
"Big Horn, Wyoming","56003","90.2"
"Weston, Wyoming","56045","89.3"
"Carbon, Wyoming","56007","87.5"
"Albany, Wyoming","56001","87.4"
"Sweetwater, Wyoming","56037","86.8"
"Laramie, Wyoming","56021","86.2"
"Washakie, Wyoming","56043","85.7"
"Teton, Wyoming","56039","85.2"
"Fremont, Wyoming","56013","71.5"

"undefined"
