Demographics, Wyoming Counties, Uninsured, Unemployed (Both Sexes - Ages 16+ - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Fremont, Wyoming","56013","9.1"
"Big Horn, Wyoming","56003","7.8"
"Sweetwater, Wyoming","56037","6.7"
"Sublette, Wyoming","56035","5.2"
"Converse, Wyoming","56009","4.9"
"Niobrara, Wyoming","56027","4.9"
"Albany, Wyoming","56001","4.3"
"Weston, Wyoming","56045","4.0"
"Laramie, Wyoming","56021","4.0"
"Natrona, Wyoming","56025","4.0"
"Carbon, Wyoming","56007","3.9"
"Goshen, Wyoming","56015","3.6"
"Uinta, Wyoming","56041","3.5"
"Lincoln, Wyoming","56023","3.3"
"Campbell, Wyoming","56005","3.3"
"Park, Wyoming","56029","3.2"
"Johnson, Wyoming","56019","2.6"
"Sheridan, Wyoming","56033","2.5"
"Washakie, Wyoming","56043","2.5"
"Teton, Wyoming","56039","2.4"
"Hot Springs, Wyoming","56017","2.0"
"Platte, Wyoming","56031","0.4"
"Crook, Wyoming","56011","0.3"

"undefined"
