,Demographics,Wyoming Counties FIPS,Income,Uninsured,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,Non Hispanic Poverty %
1,"Teton, Wyoming",56039,94498,2.4,85.2,0.7,1.6,11.1,0.1,14.4,85.1
2,"Campbell, Wyoming",56005,87547,3.3,90.2,0.3,0.1,2.9,1.1,8.2,91.4
3,"Sublette, Wyoming",56035,82342,5.2,96,no data/suppressed,no data/suppressed,5.1,0.2,4.2,92.7
4,"Sweetwater, Wyoming",56037,76668,6.7,86.8,1.2,1.2,5.5,1.2,15.6,83.9
5,"Uinta, Wyoming",56041,75106,3.5,92.1,0.3,0.2,2.9,0.3,10.3,90.3
6,"Lincoln, Wyoming",56023,74835,3.3,95,0.1,0.4,2.7,0.3,5.3,95.1
7,"Converse, Wyoming",56009,73698,4.9,95.5,0.2,0.3,2.9,0.4,6.7,91.6
8,"Laramie, Wyoming",56021,71550,4,86.2,2.4,1.2,3.2,1,15.1,84.7
9,"Crook, Wyoming",56011,67835,0.3,94.9,no data/suppressed,0.3,2.2,0.9,1.1,97.5
10,"Weston, Wyoming",56045,65566,4,89.3,0.4,1.8,1.6,1.3,0.7,98.1
11,"Natrona, Wyoming",56025,64100,4,92.2,0.8,0.5,2,1,8.4,91.1
12,"Carbon, Wyoming",56007,62654,3.9,87.5,1.1,0.7,5.3,1.8,16.4,81.4
13,"Park, Wyoming",56029,62586,3.2,92.9,0.7,0.3,2.5,0.7,5.7,94.3
14,"Sheridan, Wyoming",56033,62531,2.5,93.6,0.5,1,2.2,1.4,4.3,95.4
15,"Washakie, Wyoming",56043,62271,2.5,85.7,no data/suppressed,0.4,1,0.9,12.4,85.6
16,"Hot Springs, Wyoming",56017,60805,2,94.5,no data/suppressed,no data/suppressed,0.4,2.4,3.7,96.9
17,"Platte, Wyoming",56031,59402,0.4,90.5,0.5,1.3,2,0.1,5.6,91.5
18,"Goshen, Wyoming",56015,58318,3.6,90.2,0.7,1.1,2,1.3,10.3,89
19,"Johnson, Wyoming",56019,58020,2.6,92.6,0.7,0.6,1.5,2.9,1.1,96.9
20,"Fremont, Wyoming",56013,57887,9.1,71.5,0.5,0.5,1.6,20.2,7.3,92.4
21,"Big Horn, Wyoming",56003,56059,7.8,90.2,0.5,0.8,2.9,0.7,9.4,90.6
22,"Albany, Wyoming",56001,50733,4.3,87.4,0.9,3.9,6.8,0.7,10.3,90.1
23,"Niobrara, Wyoming",56027,48688,4.9,93,0.5,1.2,no data/suppressed,2.3,6.3,93.3
