Area,County,Cancer Type,Year,Sex,Age-Adjusted Rate,Case Count,Population
Wyoming,Niobrara County,All Types of Cancer,2016-2020,Male and Female,291.2,56,11886
Wyoming,Hot Springs County,All Types of Cancer,2016-2020,Male and Female,379.1,146,22751
Wyoming,Sublette County,All Types of Cancer,2016-2020,Male and Female,290.4,191,49325
Wyoming,Washakie County,All Types of Cancer,2016-2020,Male and Female,336,203,39663
Wyoming,Weston County,All Types of Cancer,2016-2020,Male and Female,439,226,34708
Wyoming,Crook County,All Types of Cancer,2016-2020,Male and Female,410,237,37508
Wyoming,Johnson County,All Types of Cancer,2016-2020,Male and Female,378,255,42590
Wyoming,Platte County,All Types of Cancer,2016-2020,Male and Female,392.6,286,42854
Wyoming,Goshen County,All Types of Cancer,2016-2020,Male and Female,329.6,328,66507
Wyoming,Big Horn County,All Types of Cancer,2016-2020,Male and Female,397.4,340,59045
Wyoming,Converse County,All Types of Cancer,2016-2020,Male and Female,404.2,355,69211
Wyoming,Carbon County,All Types of Cancer,2016-2020,Male and Female,395.4,370,75364
Wyoming,Uinta County,All Types of Cancer,2016-2020,Male and Female,368.8,416,101870
Wyoming,Lincoln County,All Types of Cancer,2016-2020,Male and Female,380.3,468,98199
Wyoming,Teton County,All Types of Cancer,2016-2020,Male and Female,402.5,550,116781
Wyoming,Albany County,All Types of Cancer,2016-2020,Male and Female,399.8,692,193318
Wyoming,Campbell County,All Types of Cancer,2016-2020,Male and Female,385.3,863,234790
Wyoming,Sheridan County,All Types of Cancer,2016-2020,Male and Female,402.5,881,151986
Wyoming,Sweetwater County,All Types of Cancer,2016-2020,Male and Female,421.2,968,216760
Wyoming,Fremont County,All Types of Cancer,2016-2020,Male and Female,377.1,969,198555
Wyoming,Park County,All Types of Cancer,2016-2020,Male and Female,454.2,1002,146366
Wyoming,Natrona County,All Types of Cancer,2016-2020,Male and Female,414.8,1971,400336
Wyoming,Laramie County,All Types of Cancer,2016-2020,Male and Female,450.4,2679,496362
