,County,Wyoming Counties FIPS,Income,Uninsured,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,Non Hispanic Poverty %,Area,Age-Adjusted New Case Rate,Case Count,Population,Age-Adjusted Death Rate,Death Count
0,Teton ,56039,94498,2.4,85.2,0.7,1.6,11.1,0.1,14.4,85.1,Wyoming,402.5,550,116781,93.3,115
1,Campbell ,56005,87547,3.3,90.2,0.3,0.1,2.9,1.1,8.2,91.4,Wyoming,385.3,863,234790,159.7,299
2,Sublette ,56035,82342,5.2,96.0,no data/suppressed,no data/suppressed,5.1,0.2,4.2,92.7,Wyoming,290.4,191,49325,81.8,56
3,Sweetwater ,56037,76668,6.7,86.8,1.2,1.2,5.5,1.2,15.6,83.9,Wyoming,421.2,968,216760,161.3,337
4,Uinta ,56041,75106,3.5,92.1,0.3,0.2,2.9,0.3,10.3,90.3,Wyoming,368.8,416,101870,127.5,144
5,Lincoln ,56023,74835,3.3,95.0,0.1,0.4,2.7,0.3,5.3,95.1,Wyoming,380.3,468,98199,111.8,135
6,Converse ,56009,73698,4.9,95.5,0.2,0.3,2.9,0.4,6.7,91.6,Wyoming,404.2,355,69211,143.2,129
7,Laramie ,56021,71550,4.0,86.2,2.4,1.2,3.2,1.0,15.1,84.7,Wyoming,450.4,2679,496362,145.8,872
8,Crook ,56011,67835,0.3,94.9,no data/suppressed,0.3,2.2,0.9,1.1,97.5,Wyoming,410.0,237,37508,159.5,90
9,Weston ,56045,65566,4.0,89.3,0.4,1.8,1.6,1.3,0.7,98.1,Wyoming,439.0,226,34708,145.8,79
10,Natrona ,56025,64100,4.0,92.2,0.8,0.5,2,1.0,8.4,91.1,Wyoming,414.8,1971,400336,138.6,661
11,Carbon ,56007,62654,3.9,87.5,1.1,0.7,5.3,1.8,16.4,81.4,Wyoming,395.4,370,75364,127.5,120
12,Park ,56029,62586,3.2,92.9,0.7,0.3,2.5,0.7,5.7,94.3,Wyoming,454.2,1002,146366,122.9,291
13,Sheridan ,56033,62531,2.5,93.6,0.5,1,2.2,1.4,4.3,95.4,Wyoming,402.5,881,151986,142.3,326
14,Washakie ,56043,62271,2.5,85.7,no data/suppressed,0.4,1,0.9,12.4,85.6,Wyoming,336.0,203,39663,140.4,92
15,Hot Springs ,56017,60805,2.0,94.5,no data/suppressed,no data/suppressed,0.4,2.4,3.7,96.9,Wyoming,379.1,146,22751,175.1,78
16,Platte ,56031,59402,0.4,90.5,0.5,1.3,2,0.1,5.6,91.5,Wyoming,392.6,286,42854,136.8,110
17,Goshen ,56015,58318,3.6,90.2,0.7,1.1,2,1.3,10.3,89.0,Wyoming,329.6,328,66507,169.9,182
18,Johnson ,56019,58020,2.6,92.6,0.7,0.6,1.5,2.9,1.1,96.9,Wyoming,378.0,255,42590,131.5,98
19,Fremont ,56013,57887,9.1,71.5,0.5,0.5,1.6,20.2,7.3,92.4,Wyoming,377.1,969,198555,148.5,400
20,Big Horn ,56003,56059,7.8,90.2,0.5,0.8,2.9,0.7,9.4,90.6,Wyoming,397.4,340,59045,152.4,134
21,Albany ,56001,50733,4.3,87.4,0.9,3.9,6.8,0.7,10.3,90.1,Wyoming,399.8,692,193318,110.4,183
22,Niobrara ,56027,48688,4.9,93.0,0.5,1.2,no data/suppressed,2.3,6.3,93.3,Wyoming,291.2,56,11886,99.4,21
